STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Havensingel;5611VS;5611.0;2;66;33.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162005.466942;382958.2433;51.4356844296;5.4879486318
Havenstraat;5611VE;5611.0;1;21;7.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161951.40465;383079.496254;51.436775002;5.48717354163
Haverdriesweg;5616SR;5616.0;1;19;20.0;615;Schoot;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159392.573999;383837.1863;51.4436114136;5.45038283688
Hazenloop;5646BB;5646.0;14;33;17.0;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum;163229.538368;380721.66415;51.4155640047;5.50550008427
Hebronstraat;5625PL;5625.0;1;16;17.0;516;Vlokhoven;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;161570.6882;387353.953315;51.4752012013;5.48177810944
Heesakkerstraat;5616SL;5616.0;1;69;67.0;615;Schoot;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159509.667727;383968.31375;51.4447891482;5.4520687714
Heezerweg;5614HE;5614.0;38;80;19.0;215;Joriskwartier;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162093.20525;382183.535094;51.4287197357;5.48919481109
Heezerweg;5614HG;5614.0;82;110;13.0;215;Joriskwartier;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162173.3189;382110.324753;51.4280606575;5.49034528046
Heezerweg;5643KC;5643.0;249;277;15.0;233;Sintenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162760.199;381644.695398;51.4238674894;5.498773695
Heezerweg;5643KE;5643.0;305;319;8.0;233;Sintenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162932.916755;381485.4003;51.4224332327;5.50125336554
Heezerweg;5643KG;5643.0;337;347;4.0;233;Sintenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;163066.9239;381372.069929;51.4214126406;5.50317740392
Heezerweg;5643KG;5643.0;347;347;4.0;234;Tivoli;23;Wijk Putten;2;Stadsdeel Stratum;163066.9239;381372.069929;51.4214126406;5.50317740392
Heezerweg;5643KP;5643.0;332;362;16.0;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162910.4429;381449.933483;51.4221147492;5.50092946031
